A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3
1015.574,207.604,0.296,1518.121,264.235,0.273,684.788,304.21,0.093,1474.564,287.779,0.224,999.651,224.231,0.25,2217.189,332.613,0.252
967.599,251.817,0.192,1257.088,208.413,0.364,430.946,203.014,0.131,1486.686,205.41,0.443,1097.756,150.363,0.61,1032.318,147.377,0.597
1390.327,221.86,0.355,861.995,176.602,0.347,820.492,261.314,0.151,3208.518,316.368,0.403,1355.502,230.198,0.321,1073.718,250.432,0.215
755.157,213.284,0.209,549.084,208.719,0.158,1787.475,192.035,0.609,734.817,190.367,0.255,837.956,132.362,0.601,1531.271,218.363,0.404
2045.735,345.338,0.216,2244.103,312.64,0.289,1737.447,247.115,0.358,1004.684,201.009,0.312,1245.891,152.047,0.677,1614.686,207.92,0.469
1288.215,192.661,0.436,1670.57,451.287,0.103,865.796,180.379,0.334,1586.641,267.506,0.279,714.785,134.934,0.493,1331.669,276.571,0.219
2119.699,554.702,0.087,3222.798,309.689,0.422,837.032,176.925,0.336,1282.154,294.498,0.186,1380.568,214.005,0.379,1466.038,229.537,0.35
1665.639,382.745,0.143,790.701,188.348,0.28,1669.543,288.744,0.252,1197.711,176.823,0.481,1053.686,174.101,0.437,2568.623,287.946,0.389
1664.098,279.891,0.267,1599.482,285.176,0.247,1091.593,190.321,0.379,826.245,334.295,0.093,560.384,162.905,0.265,1930.268,267.804,0.338
1134.328,340.596,0.123,1296.844,181.332,0.496,692.184,214.762,0.189,1024.819,271.695,0.174,324.725,181.577,0.124,1667.591,198.974,0.529
716.223,276.923,0.117,1942.184,244.064,0.41,750.431,220.594,0.194,1077.108,163.79,0.505,1402.038,199.006,0.445,1435.425,181.73,0.546
864.152,207.345,0.253,1718.647,332.428,0.195,378.965,144.502,0.228,1592.189,259.818,0.296,743.035,142.518,0.46,1441.794,196.31,0.47
764.094,243.549,0.162,1273.73,210.205,0.362,1734.776,258.361,0.327,474.811,129.233,0.357,1181.994,144.431,0.712,998.932,161.863,0.479
1132.068,304.326,0.154,1733.646,212.736,0.481,1209.936,338.854,0.132,1398.443,384.493,0.119,942.328,149.718,0.528,2188.938,261.11,0.403
3073.225,315.376,0.388,1800.83,282.348,0.284,2149.182,199.6,0.678,1952.56,278.245,0.317,952.396,139.774,0.613,1437.377,287.786,0.218
966.572,209.968,0.276,1180.658,174.602,0.487,632.602,194.985,0.209,830.765,145.314,0.494,1126.931,157.891,0.568,2473.291,207.202,0.724
1456.587,285.116,0.225,792.139,223.435,0.199,829.43,234.333,0.19,1005.301,214.808,0.274,773.751,137.023,0.518,1386.629,269.49,0.24
1625.267,280.339,0.26,597.366,211.94,0.167,868.98,283.478,0.136,2605.091,280.677,0.416,1254.828,176.032,0.509,2443.191,327.813,0.286
1340.196,368.197,0.124,1421.762,298.297,0.201,774.264,142.011,0.482,982.187,268.138,0.172,1261.608,201.462,0.391,1560.24,183.685,0.581
708.005,252.202,0.14,1638.416,226.309,0.402,1262.225,215.415,0.342,2194.794,181.53,0.837,943.664,226.338,0.231,967.805,154.686,0.508
1909.825,428.646,0.131,1434.295,189.183,0.504,941.917,179.679,0.367,1647.765,313.675,0.21,1744.946,219.906,0.453,1654.031,265.437,0.295
505.013,175.139,0.207,1348.619,215.59,0.365,1891.847,255.411,0.364,1374.199,206.017,0.407,739.44,173.345,0.309,1569.075,165.41,0.721
1661.119,242.575,0.355,1273.73,181.831,0.484,2093.298,207.631,0.61,1602.359,232.776,0.372,1859.899,174.192,0.77,2724.873,285.468,0.42
367.357,188.018,0.131,636.608,260.823,0.118,474.811,130.516,0.35,1008.794,220.299,0.261,1752.65,212.691,0.487,1654.031,249.189,0.335
1611.296,271.83,0.274,1659.681,172.351,0.702,343.113,130.47,0.253,2116.309,192.982,0.714,2391.827,254.677,0.463,473.681,110.75,0.485
1100.941,270.695,0.189,1009.204,160.536,0.492,728.653,190.08,0.253,1863.905,200.607,0.582,3113.803,279.263,0.502,1305.473,150.802,0.721
1559.213,224.664,0.388,461.251,111.877,0.463,1450.629,379.756,0.126,842.579,170.252,0.365,1690.602,349.018,0.174,1420.427,182.575,0.535
2004.13,336.198,0.223,657.359,205.849,0.195,1394.436,200.48,0.436,1689.575,203.198,0.514,1286.16,150.236,0.716,1893.697,246.42,0.392
1214.661,233.833,0.279,2967.312,254.755,0.575,2509.348,248.216,0.512,1387.451,259.829,0.258,646.265,139.759,0.416,2367.583,302.259,0.326
1781.62,263.492,0.322,1112.652,246.367,0.23,,,,863.433,170.964,0.371,489.707,218.648,0.129,1888.56,262.439,0.345
931.439,200.007,0.293,,,,,,,1564.863,262.206,0.286,1614.994,174.781,0.664,777.963,189.371,0.273
703.587,171.101,0.302,,,,,,,1321.396,413.846,0.097,1194.732,145.65,0.708,995.85,208.284,0.288
846.585,139.273,0.548,,,,,,,751.151,216.228,0.202,1078.238,220.638,0.278,671.741,151.164,0.369
1975.777,347.695,0.205,,,,,,,1689.37,182.386,0.638,1168.845,168.448,0.518,865.385,190.269,0.3
1827.745,203.372,0.555,,,,,,,1753.267,201.337,0.544,718.791,186.465,0.26,1685.055,230.249,0.399
,,,,,,,,,1104.536,158.131,0.555,2060.117,222.731,0.522,844.942,267.008,0.149
,,,,,,,,,,,,975.92,225.522,0.241,,,
,,,,,,,,,,,,408.243,139.381,0.264,,,
,,,,,,,,,,,,539.53,111.533,0.545,,,
,,,,,,,,,,,,433.514,101.427,0.53,,,
,,,,,,,,,,,,1294.584,221.008,0.333,,,
,,,,,,,,,,,,682.22,217.216,0.182,,,
,,,,,,,,,,,,1250.103,241.25,0.27,,,
,,,,,,,,,,,,1122.411,149.017,0.635,,,
,,,,,,,,,,,,2000.842,223.613,0.503,,,
,,,,,,,,,,,,1850.551,172.349,0.783,,,
,,,,,,,,,,,,1086.045,144.255,0.656,,,
,,,,,,,,,,,,973.969,168.955,0.429,,,
,,,,,,,,,,,,318.047,129.242,0.239,,,
,,,,,,,,,,,,713.86,162.112,0.341,,,
,,,,,,,,,,,,1221.647,169.922,0.532,,,
,,,,,,,,,,,,1793.023,221.431,0.46,,,
,,,,,,,,,,,,2401.381,342.836,0.257,,,
